trigger,time_s
24,0.514136
81,3.172469
33,3.696127
81,6.354461
36,6.898108
81,9.556442
35,10.064807
81,12.723141
102,13.232704
100,14.116038
101,15.382704
103,15.891038
22,16.431093
81,19.089426
23,19.617612
81,22.275945
9,22.784570
81,25.442903
14,25.981611
81,28.639944
102,29.156144
100,29.747810
101,31.014477
103,31.814477
3,32.356304
81,35.014638
12,35.531697
81,38.190030
34,38.728135
81,41.386469
102,41.899397
100,42.841064
101,44.107730
103,44.557730
7,45.076754
81,47.735088
18,48.258124
81,50.916458
38,51.460128
81,54.118462
2,54.650145
81,57.308479
13,57.836551
81,60.494884
31,61.027814
81,63.686148
33,64.211210
81,66.869544
102,67.382165
100,68.415498
101,69.682165
103,70.040498
15,70.582794
81,73.241128
8,73.767242
81,76.425575
27,76.973395
81,79.631729
102,80.144515
100,81.069515
101,82.336182
103,82.802848
24,83.311666
81,85.969999
1,86.516950
81,89.175283
16,89.719035
81,92.377368
37,92.890807
81,95.549141
10,96.089254
81,98.747587
7,99.285709
81,101.944042
1,102.462589
81,105.120923
17,105.651248
81,108.309581
13,108.820011
81,111.478344
22,112.013735
81,114.672068
25,115.181692
81,117.840026
23,118.364392
81,121.022726
29,121.559070
81,124.217403
19,124.752554
81,127.410888
17,127.939486
81,130.597820
29,131.121941
81,133.780275
25,134.292810
81,136.951144
31,137.479162
81,140.137495
27,140.672181
81,143.330514
28,143.855111
81,146.513444
5,147.049293
81,149.707626
32,150.225536
81,152.883869
2,153.407506
81,156.065840
21,156.605283
81,159.263616
102,159.783521
100,160.608521
101,161.875188
103,162.441855
16,162.969120
81,165.627453
32,166.148941
81,168.807275
40,169.350936
81,172.009269
36,172.543649
81,175.201982
26,175.711804
81,178.370138
14,178.879136
81,181.537470
39,182.057207
81,184.715541
9,185.245892
81,187.904225
26,188.440005
81,191.098338
102,191.617321
100,192.558987
101,193.825654
103,194.275654
38,194.791158
81,197.449491
34,197.961773
81,200.620107
6,201.161070
81,203.819403
30,204.338745
81,206.997079
4,207.523421
81,210.181754
102,210.706610
100,211.148277
101,212.414944
103,213.364944
11,213.875332
81,216.533665
30,217.063901
81,219.722234
102,220.234248
100,220.467582
101,221.734248
103,222.892582
19,223.407898
81,226.066232
28,226.603243
81,229.261576
102,229.789766
100,230.406432
101,231.673099
103,232.448099
5,232.995513
81,235.653846
6,236.171488
81,238.829821
4,239.339093
81,241.997426
18,242.532102
81,245.190436
20,245.716348
81,248.374681
12,248.923003
81,251.581337
15,252.104637
81,254.762970
